价格,名称,评论数,店铺名
￥9999.00,Apple 苹果 iPhone 13 Pro（A2639）全网通5G手机 256G 远峰蓝色（享一年延保） 套装二：搭配 20W原装闪充,1000+条评价,京东之家官方旗舰店
￥7048.00,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 蓝色 256GB 原装20W闪充,200+条评价,Apple古霖专卖店
￥9899.00,Apple 苹果 iPhone 13 Pro（A2639）全网通5G手机 256G 远峰蓝色（享一年延保） 套装一：搭配 90天碎屏保障,1000+条评价,京东之家官方旗舰店
￥6799.00,Apple iPhone 13 (A2634) 256GB 红色 支持移动联通电信5G 双卡双待手机 【移动用户专享】iPhone12直降200元点击购买,2000+条评价,中国移动官方旗舰店
￥5199.00,Apple iPhone 13 mini (A2629) 128GB 午夜色 手机 支持移动联通电信5G 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,1万+条评价,Apple产品京东自营旗舰店
￥5999.00,Apple iPhone 13 (A2634) 128GB 红色 支持移动联通电信5G 双卡双待手机 【移动用户专享】iPhone12直降200元点击购买,2000+条评价,中国移动官方旗舰店
￥9758.00,Apple iPhone 13 Pro (A2639) 苹果13手机 支持移动联通电信5G 256GB 远峰蓝色 官方标配【晒单30元红包+碎屏险】,43条评价,茄子手机旗舰店
￥14788.00,苹果 iPhone 13ProMax (A2644) 支持移动联通电信5G 双卡双待手机 1TB 远峰蓝色 官方标配【碎屏险+晒单返20红包】,19条评价,茄子手机旗舰店
￥6499.00,Apple iPhone 13 (A2634) 全网通5G 手机 双卡双待 A15芯片 午夜色 128G【原配20W闪充+红包+退换无忧】,500+条评价,Apple嘉世优品专卖店
￥6499.00,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 午夜色 128G官配+原装头,200+条评价,Apple丰年时代专卖店
￥10599.00,Apple 苹果 iPhone 13 Pro Max（A2644）全网通5G手机 128G 远峰蓝色（享一年延保） 套装一：搭配 90天碎屏保障,500+条评价,京东之家官方旗舰店
￥11299.00,Apple 苹果 iPhone 13 pro max全网通5G手机 远峰蓝色 256GB【碎屏险套餐】,15条评价,顺为手机专营店
￥59.90,京东超市京东京造 苹果13手机壳iphone 13手机壳保护套镜头全包防摔玻璃壳硅胶软边超薄保护壳6.1英寸透明,2万+条评价,京东京造官方自营旗舰店
￥9788.00,Apple 苹果 iPhone 13Pro 全网通5G手机 远峰蓝色 256G【碎屏险套餐】,11条评价,顺为手机专营店
￥75.00,绿联 MFi认证 苹果充电器套装20W USB-C快充头+PD数据线通用iPhone13/12Pro Max/11/mini手机ipadpro平板插头,50万+条评价,绿联京东自营旗舰店
￥6958.00,Apple iPhone 13 (A2634) 新品5G全网通双卡双待全面屏长续航手机 午夜色 256G+Apple原装闪充头+壳膜,500+条评价,Apple羽通专卖店
￥7368.00,Apple 苹果 iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 256GB 粉色 官方标配【碎屏险+晒单20元红包】,48条评价,茄子手机旗舰店
￥49.90,京东超市京东京造苹果13ProMax手机壳iPhone 13 Pro Max手机壳保护套镜头精孔防摔玻璃壳硅胶软边保护壳6.7英寸透明,2万+条评价,京东京造官方自营旗舰店
￥6728.00,Apple 苹果 iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 128GB 粉色 官方标配【碎屏险+晒单20元红包】,48条评价,茄子手机旗舰店
￥6499.00,【现货】Apple 苹果iPhone 13 (A2634) 5G手机 午夜色 128GB,0条评价,疆界互联旗舰店
￥6499.00,Apple iPhone 13 (A2634) 全网通5G 手机 A15芯片 午夜色 128G【原配20W闪充+红包+退换无忧】,91条评价,Apple嘉世优品专卖店
￥49.90,品胜 苹果PD快充套装20W type-c充电器+PD数据线通用13/12/11Pro/XsMax/mini/ipadpro小米华为插头18W,300万+条评价,品胜京东自营旗舰店
￥5199.00,Apple iPhone 13 mini (A2629) 128GB 蓝色 手机 支持移动联通电信5G 性能全面升级，先进双摄系统，续航大提升！选购[1年期官方AppleCare+版]限时抢服务5折券，尽享超值原厂服务，放心用机，无惧意外！查看,1万+条评价,Apple产品京东自营旗舰店
￥139.00,京东超市Apple苹果原装充电器PD20W快充头12充电头iphone13promax/11数据线充电线套装 20W充电头 白色【单头不含线】,10万+条评价,大商无算数码专营店
￥6699.00,Apple iPhone 13 (A2634) 全网通5G 手机 双卡双待A15芯片 星光色 128GB【官方标配】,200+条评价,Apple扬笛手机专卖店
